"","geneNames","geneIDs","transcriptNames","feature","id","fc","pval","qval","logfc"
"41545","WDR26","MSTRG.24311","ENST00000414423","transcript","41545",2.08420386323302,1.35842488280247e-06,0.000116485884978241,1.05949639954096
"41548",".","MSTRG.24311","MSTRG.24311.6","transcript","41548",2.01152787300745,0.000579263511957029,0.00604190592556747,1.00829172900059
"41747","TMEM63A","MSTRG.24373","ENST00000366835","transcript","41747",2.09270588577629,8.03614151674292e-05,0.00159333160785007,1.06536956579911
"41782","PYCR2","MSTRG.24388","ENST00000343818","transcript","41782",2.3690908294326,6.44139914740549e-07,7.30335378146386e-05,1.24433351164694
"42597",".","MSTRG.24879","MSTRG.24879.12","transcript","42597",2.38391527986407,0.0255519185837766,0.0931859311716217,1.25333296587903
"42866","C1orf198","MSTRG.25079","ENST00000366663","transcript","42866",3.23097941195515,1.13989733208086e-07,2.34155173741753e-05,1.6919715576708
"44034","LGALS8","MSTRG.25936","ENST00000366584","transcript","44034",3.53031895566139,0.00150029028820087,0.0117493953933725,1.81979853334443
"44051","LGALS8","MSTRG.25936","ENST00000525042","transcript","44051",2.64620552220215,0.000241591314948497,0.00335412014717385,1.40392511541372
"45733",".","MSTRG.27100","MSTRG.27100.7","transcript","45733",3.50622882453813,0.00385597546392524,0.0231638494656875,1.80992015275856
"45753",".","MSTRG.27126","MSTRG.27126.1","transcript","45753",2.01133497389862,1.70997849192611e-05,0.000597575017960435,1.00815337251244
"45756",".","MSTRG.27126","MSTRG.27126.3","transcript","45756",2.11017992097736,0.0110123608205688,0.0503292829400372,1.0773660131673
"45762",".","MSTRG.27126","MSTRG.27126.5","transcript","45762",2.58930053523478,3.62351865017541e-05,0.000977328426764931,1.37256242585193
"45937","GCSAML","MSTRG.27231","ENST00000366488","transcript","45937",3.43277629077336,6.83559002512268e-07,7.59087072013942e-05,1.77937584194182
"46011",".","MSTRG.27265","MSTRG.27265.19","transcript","46011",2.65654054680923,0.00511029285104225,0.0283562434382738,1.4095487328502
"46019",".","MSTRG.27261","MSTRG.27261.2","transcript","46019",2.13460328718298,0.0014185509866449,0.0112864748125844,1.09396797204982
"46879","KLF6","MSTRG.27885","ENST00000542957","transcript","46879",0.43502317751017,0.000852075718242196,0.00790921587706135,-1.2008358268267
"46882",".","MSTRG.27885","MSTRG.27885.7","transcript","46882",0.427819206126799,0.000327878729877273,0.00407856625669767,-1.22492684388998
"47281","GDI2","MSTRG.28160","ENST00000380191","transcript","47281",2.15041536131954,0.000151288351889933,0.00243757385074028,1.10461534904235
"47282","GDI2","MSTRG.28160","ENST00000479928","transcript","47282",0.47744872582557,0.00256995373033031,0.017348179392856,-1.06658228732869
